,name,classes,samples_per_class,samples_total,dimensionality,dr_name,dr_learning,dr_transformation,dr_structure,clf_name,clf_accuracy,clf_kappa,clf_balanced_accuracy
76,breast_cancer,2,"{'malignant': 212, 'benign': 357}",569,30,PLS_Regression,learning.supervised,transformation.linear,structure.global_structure,Decision Tree,0.9228070175438596,0.8297583491718707,0.9168940303394084
77,breast_cancer,2,"{'malignant': 212, 'benign': 357}",569,30,PLS_Regression,learning.supervised,transformation.linear,structure.global_structure,Quadratic Discriminant,0.9438596491228071,0.8755865982756739,0.937793299137837
78,breast_cancer,2,"{'malignant': 212, 'benign': 357}",569,30,PLS_Regression,learning.supervised,transformation.linear,structure.global_structure,MPL Classifier,0.9438596491228071,0.8755865982756739,0.937793299137837
79,breast_cancer,2,"{'malignant': 212, 'benign': 357}",569,30,PLS_Regression,learning.supervised,transformation.linear,structure.global_structure,Gaussian Process,0.9438596491228071,0.8755865982756739,0.937793299137837
80,breast_cancer,2,"{'malignant': 212, 'benign': 357}",569,30,PLS_Regression,learning.supervised,transformation.linear,structure.global_structure,Random Forest Classifier,0.9228070175438596,0.8297583491718707,0.9168940303394084
81,wine,3,"{'class_0': 59, 'class_1': 71}",178,13,Sup K-ISOMAP,learning.supervised,transformation.nonlinear,structure.local_structure,KNN,0.9887640449438202,0.9828615443866744,0.9901960784313726
82,wine,3,"{'class_0': 59, 'class_1': 71}",178,13,Sup K-ISOMAP,learning.supervised,transformation.nonlinear,structure.local_structure,SMV,0.9887640449438202,0.9828615443866744,0.9901960784313726
83,wine,3,"{'class_0': 59, 'class_1': 71}",178,13,Sup K-ISOMAP,learning.supervised,transformation.nonlinear,structure.local_structure,Naive Bayes,0.9887640449438202,0.9828615443866744,0.9901960784313726
84,wine,3,"{'class_0': 59, 'class_1': 71}",178,13,Sup K-ISOMAP,learning.supervised,transformation.nonlinear,structure.local_structure,Decision Tree,0.9662921348314607,0.948821161587119,0.9705882352941176
85,wine,3,"{'class_0': 59, 'class_1': 71}",178,13,Sup K-ISOMAP,learning.supervised,transformation.nonlinear,structure.local_structure,Quadratic Discriminant,0.9887640449438202,0.9828615443866744,0.9901960784313726
86,wine,3,"{'class_0': 59, 'class_1': 71}",178,13,Sup K-ISOMAP,learning.supervised,transformation.nonlinear,structure.local_structure,MPL Classifier,0.9887640449438202,0.9828615443866744,0.9901960784313726
87,wine,3,"{'class_0': 59, 'class_1': 71}",178,13,Sup K-ISOMAP,learning.supervised,transformation.nonlinear,structure.local_structure,Gaussian Process,0.9887640449438202,0.9828615443866744,0.9901960784313726
88,wine,3,"{'class_0': 59, 'class_1': 71}",178,13,Sup K-ISOMAP,learning.supervised,transformation.nonlinear,structure.local_structure,Random Forest Classifier,0.9662921348314607,0.948821161587119,0.9705882352941176
89,wine,3,"{'class_0': 59, 'class_1': 71}",178,13,LDAcompNone,learning.unsupervised,transformation.linear,structure.global_structure,KNN,1.0,1.0,1.0
90,wine,3,"{'class_0': 59, 'class_1': 71}",178,13,LDAcompNone,learning.unsupervised,transformation.linear,structure.global_structure,SMV,1.0,1.0,1.0
91,wine,3,"{'class_0': 59, 'class_1': 71}",178,13,LDAcompNone,learning.unsupervised,transformation.linear,structure.global_structure,Naive Bayes,1.0,1.0,1.0
92,wine,3,"{'class_0': 59, 'class_1': 71}",178,13,LDAcompNone,learning.unsupervised,transformation.linear,structure.global_structure,Decision Tree,0.9887640449438202,0.9828615443866744,0.9901960784313726
93,wine,3,"{'class_0': 59, 'class_1': 71}",178,13,LDAcompNone,learning.unsupervised,transformation.linear,structure.global_structure,Quadratic Discriminant,1.0,1.0,1.0
94,wine,3,"{'class_0': 59, 'class_1': 71}",178,13,LDAcompNone,learning.unsupervised,transformation.linear,structure.global_structure,MPL Classifier,1.0,1.0,1.0
95,wine,3,"{'class_0': 59, 'class_1': 71}",178,13,LDAcompNone,learning.unsupervised,transformation.linear,structure.global_structure,Gaussian Process,1.0,1.0,1.0
96,wine,3,"{'class_0': 59, 'class_1': 71}",178,13,LDAcompNone,learning.unsupervised,transformation.linear,structure.global_structure,Random Forest Classifier,0.9887640449438202,0.9828615443866744,0.9901960784313726
97,wine,3,"{'class_0': 59, 'class_1': 71}",178,13,LDA,learning.supervised,transformation.linear,structure.global_structure,KNN,1.0,1.0,1.0
98,wine,3,"{'class_0': 59, 'class_1': 71}",178,13,LDA,learning.supervised,transformation.linear,structure.global_structure,SMV,1.0,1.0,1.0
99,wine,3,"{'class_0': 59, 'class_1': 71}",178,13,LDA,learning.supervised,transformation.linear,structure.global_structure,Naive Bayes,1.0,1.0,1.0
100,wine,3,"{'class_0': 59, 'class_1': 71}",178,13,LDA,learning.supervised,transformation.linear,structure.global_structure,Decision Tree,0.9887640449438202,0.9828615443866744,0.9901960784313726
101,wine,3,"{'class_0': 59, 'class_1': 71}",178,13,LDA,learning.supervised,transformation.linear,structure.global_structure,Quadratic Discriminant,1.0,1.0,1.0
102,wine,3,"{'class_0': 59, 'class_1': 71}",178,13,LDA,learning.supervised,transformation.linear,structure.global_structure,MPL Classifier,1.0,1.0,1.0
103,wine,3,"{'class_0': 59, 'class_1': 71}",178,13,LDA,learning.supervised,transformation.linear,structure.global_structure,Gaussian Process,1.0,1.0,1.0
104,wine,3,"{'class_0': 59, 'class_1': 71}",178,13,LDA,learning.supervised,transformation.linear,structure.global_structure,Random Forest Classifier,0.9887640449438202,0.9828615443866744,0.9901960784313726
105,wine,3,"{'class_0': 59, 'class_1': 71}",178,13,SUP PCA,learning.supervised,transformation.linear,structure.global_structure,KNN,0.9887640449438202,0.9828549412444616,0.98989898989899
106,wine,3,"{'class_0': 59, 'class_1': 71}",178,13,SUP PCA,learning.supervised,transformation.linear,structure.global_structure,SMV,0.9775280898876404,0.9657164869029276,0.9800950683303625
107,wine,3,"{'class_0': 59, 'class_1': 71}",178,13,SUP PCA,learning.supervised,transformation.linear,structure.global_structure,Naive Bayes,0.9662921348314607,0.9485648237333847,0.9699940582293524
108,wine,3,"{'class_0': 59, 'class_1': 71}",178,13,SUP PCA,learning.supervised,transformation.linear,structure.global_structure,Decision Tree,0.9213483146067416,0.8804452120514297,0.9298871063576946
109,wine,3,"{'class_0': 59, 'class_1': 71}",178,13,SUP PCA,learning.supervised,transformation.linear,structure.global_structure,Quadratic Discriminant,0.9887640449438202,0.9828615443866744,0.9901960784313726
110,wine,3,"{'class_0': 59, 'class_1': 71}",178,13,SUP PCA,learning.supervised,transformation.linear,structure.global_structure,MPL Classifier,0.9662921348314607,0.9485648237333847,0.9699940582293524
111,wine,3,"{'class_0': 59, 'class_1': 71}",178,13,SUP PCA,learning.supervised,transformation.linear,structure.global_structure,Gaussian Process,0.9775280898876404,0.9657164869029276,0.9800950683303625
112,wine,3,"{'class_0': 59, 'class_1': 71}",178,13,SUP PCA,learning.supervised,transformation.linear,structure.global_structure,Random Forest Classifier,0.9550561797752809,0.9315516246875601,0.9598930481283423
113,wine,3,"{'class_0': 59, 'class_1': 71}",178,13,PLS_Regression,learning.supervised,transformation.linear,structure.global_structure,KNN,0.9550561797752809,0.9314065510597302,0.9548425430778372
